"","fingerprint","minutia","x","y","angle","score_change"
"G038X6I_1_1#v19","G038X6I_1_1","v19",254,162,310,0.041548194
"G038X6I_1_1#v20","G038X6I_1_1","v20",391,316,309,-0.027536489
"G038X6I_1_1#v21","G038X6I_1_1","v21",283,430,301,0.002452252
"G038X6I_1_1#v22","G038X6I_1_1","v22",287,209,303,0.003457804
"G038X6I_1_1#v23","G038X6I_1_1","v23",386,304,297,-0.013589603
"G038X6I_1_1#v24","G038X6I_1_1","v24",341,379,289,-0.311486812
"G038X6I_1_1#v25","G038X6I_1_1","v25",404,402,288,-0.121541064
"G038X6I_1_1#v26","G038X6I_1_1","v26",367,320,289,-0.015196527
"G038X6I_1_1#v27","G038X6I_1_1","v27",305,400,291,-0.303892296
"G038X6I_1_1#v28","G038X6I_1_1","v28",284,318,286,-0.126555438
"G038X6I_1_1#v29","G038X6I_1_1","v29",356,570,176,0.023430104
"G038X6I_1_1#v30","G038X6I_1_1","v30",252,599,177,-0.014113008
"G038X6I_1_1#v31","G038X6I_1_1","v31",330,147,129,0.038169294
"G038X6I_1_1#v32","G038X6I_1_1","v32",296,138,129,0.039768248
"G038X6I_1_1#v33","G038X6I_1_1","v33",410,257,119,-0.081388812
"G038X6I_1_1#v34","G038X6I_1_1","v34",386,265,114,-0.018270072
"G038X6I_1_1#v35","G038X6I_1_1","v35",275,346,114,-0.051058258
"G038X6I_1_1#v36","G038X6I_1_1","v36",288,302,107,-0.052915971
"G038X6I_1_1#v37","G038X6I_1_1","v37",271,317,111,-0.072149894
"G038X6I_1_1#v38","G038X6I_1_1","v38",418,369,106,-0.124992828
"G038X6I_1_1#v39","G038X6I_1_1","v39",433,350,103,0.021592185
"G038X6I_1_1#v40","G038X6I_1_1","v40",443,364,99,0.015093505
"G039X4I_1_1#v0","G039X4I_1_1","v0",463,472,86,-0.236233178
"G039X4I_1_1#v1","G039X4I_1_1","v1",436,460,89,-0.686135683
"G039X4I_1_1#v2","G039X4I_1_1","v2",478,508,88,-0.228219307
"G039X4I_1_1#v3","G039X4I_1_1","v3",386,455,85,0.33828204
"G039X4I_1_1#v4","G039X4I_1_1","v4",500,478,78,0.278339961
"G039X4I_1_1#v5","G039X4I_1_1","v5",488,448,75,-0.164977366
"G039X4I_1_1#v6","G039X4I_1_1","v6",426,428,73,-0.089972843
"G039X4I_1_1#v7","G039X4I_1_1","v7",449,411,66,-0.511442836
"G039X4I_1_1#v8","G039X4I_1_1","v8",338,493,55,-0.530509049
"G039X4I_1_1#v9","G039X4I_1_1","v9",330,533,49,-0.586410237
"G039X4I_1_1#v10","G039X4I_1_1","v10",381,526,182,-0.137916535
"G039X4I_1_1#v11","G039X4I_1_1","v11",393,535,147,-0.2067912
"G039X4I_1_1#v12","G039X4I_1_1","v12",402,470,110,-0.274634438
"G039X4I_1_1#v13","G039X4I_1_1","v13",419,512,111,-0.665193615
"G039X4I_1_1#v14","G039X4I_1_1","v14",428,466,99,-0.787768122
"G039X4I_1_1#v15","G039X4I_1_1","v15",435,494,93,-0.845509523
"G039X4I_1_1#v16","G039X4I_1_1","v16",353,450,90,-0.070751211
"G040X6I_1_1#v0","G040X6I_1_1","v0",454,162,346,0.155287282
"G040X6I_1_1#v1","G040X6I_1_1","v1",417,190,333,-0.474875045
"G040X6I_1_1#v2","G040X6I_1_1","v2",444,369,335,-0.154371266
"G040X6I_1_1#v3","G040X6I_1_1","v3",389,95,331,0.184518582
"G040X6I_1_1#v4","G040X6I_1_1","v4",414,166,329,-0.325097281
"G040X6I_1_1#v5","G040X6I_1_1","v5",400,316,321,-0.333341694
"G040X6I_1_1#v6","G040X6I_1_1","v6",470,558,324,0.077549151
"G040X6I_1_1#v7","G040X6I_1_1","v7",438,394,324,-0.015875255
"G040X6I_1_1#v8","G040X6I_1_1","v8",308,275,317,-0.378535182
"G040X6I_1_1#v9","G040X6I_1_1","v9",390,250,320,0.101657956
"G040X6I_1_1#v10","G040X6I_1_1","v10",443,542,316,0.065965972
"G040X6I_1_1#v11","G040X6I_1_1","v11",413,546,316,0.114013449
"G040X6I_1_1#v12","G040X6I_1_1","v12",330,159,312,-0.329647685
"G040X6I_1_1#v13","G040X6I_1_1","v13",270,261,315,-0.275355437
"G040X6I_1_1#v14","G040X6I_1_1","v14",375,425,312,-0.055730778
"G040X6I_1_1#v15","G040X6I_1_1","v15",292,147,311,0.021935475
"G040X6I_1_1#v16","G040X6I_1_1","v16",366,418,306,-0.090930553
"G040X6I_1_1#v17","G040X6I_1_1","v17",270,114,307,0.227831727
"G040X6I_1_1#v18","G040X6I_1_1","v18",365,272,309,-0.133296111
"G040X6I_1_1#v19","G040X6I_1_1","v19",340,410,305,-0.050591636
"G040X6I_1_1#v20","G040X6I_1_1","v20",236,216,307,-0.227279124
"G040X6I_1_1#v21","G040X6I_1_1","v21",350,236,309,0.002495083
"G040X6I_1_1#v22","G040X6I_1_1","v22",375,381,306,-0.108296639
"G040X6I_1_1#v23","G040X6I_1_1","v23",295,440,308,0.173639344
"G040X6I_1_1#v24","G040X6I_1_1","v24",358,371,302,-0.252547369
"G040X6I_1_1#v25","G040X6I_1_1","v25",427,555,147,-0.110281803
"G040X6I_1_1#v26","G040X6I_1_1","v26",446,323,150,0.081118183
"G040X6I_1_1#v27","G040X6I_1_1","v27",255,346,143,-0.130279066
"G040X6I_1_1#v28","G040X6I_1_1","v28",364,250,135,-0.149858123
"G040X6I_1_1#v29","G040X6I_1_1","v29",445,503,135,-0.299494188
"G040X6I_1_1#v30","G040X6I_1_1","v30",420,264,140,-0.471104159
"G040X6I_1_1#v31","G040X6I_1_1","v31",368,514,133,-0.186901499
"G040X6I_1_1#v32","G040X6I_1_1","v32",261,244,132,-0.35110045
"G040X6I_1_1#v33","G040X6I_1_1","v33",377,366,131,0.048058693
"G040X6I_1_1#v34","G040X6I_1_1","v34",240,320,133,-0.075100219
"G040X6I_1_1#v35","G040X6I_1_1","v35",346,283,131,-0.376813829
"G040X6I_1_1#v36","G040X6I_1_1","v36",281,141,129,-0.061954337
"G041X6I_1_1#v0","G041X6I_1_1","v0",251,470,85,-0.010938977
"G041X6I_1_1#v1","G041X6I_1_1","v1",447,463,85,0.071031344
"G041X6I_1_1#v2","G041X6I_1_1","v2",455,432,76,-0.090556262
"G041X6I_1_1#v3","G041X6I_1_1","v3",472,424,67,0.030967124
"G041X6I_1_1#v4","G041X6I_1_1","v4",483,402,63,-0.045332505
"G041X6I_1_1#v5","G041X6I_1_1","v5",496,401,56,0.04652321
"G041X6I_1_1#v6","G041X6I_1_1","v6",455,343,38,0.018414125
"G041X6I_1_1#v7","G041X6I_1_1","v7",389,388,35,-0.14912681
"G041X6I_1_1#v8","G041X6I_1_1","v8",392,364,12,0.01618478
"G041X6I_1_1#v9","G041X6I_1_1","v9",382,290,355,0.029573358
"G041X6I_1_1#v10","G041X6I_1_1","v10",560,650,354,0.17010582
"G041X6I_1_1#v11","G041X6I_1_1","v11",349,374,341,-0.096721162
"G041X6I_1_1#v12","G041X6I_1_1","v12",549,619,333,0.075647052
"G041X6I_1_1#v13","G041X6I_1_1","v13",349,592,328,-0.118089621
"G041X6I_1_1#v14","G041X6I_1_1","v14",505,627,328,-0.010613028
"G041X6I_1_1#v15","G041X6I_1_1","v15",482,620,331,0.354546704
"G041X6I_1_1#v16","G041X6I_1_1","v16",317,266,325,-0.04354482
"G041X6I_1_1#v17","G041X6I_1_1","v17",405,606,326,0.276129677
"G041X6I_1_1#v18","G041X6I_1_1","v18",335,371,325,-0.004352034
"G041X6I_1_1#v19","G041X6I_1_1","v19",371,586,323,-0.023000969
"G041X6I_1_1#v20","G041X6I_1_1","v20",465,623,326,0.212295674
"G041X6I_1_1#v21","G041X6I_1_1","v21",312,218,321,0.008885457
"G041X6I_1_1#v22","G041X6I_1_1","v22",533,605,318,-0.007547193
"G041X6I_1_1#v23","G041X6I_1_1","v23",446,608,312,0.266624386
"G041X6I_1_1#v24","G041X6I_1_1","v24",358,563,311,0.063236671
"G041X6I_1_1#v25","G041X6I_1_1","v25",510,591,306,0.144624783
"G041X6I_1_1#v26","G041X6I_1_1","v26",389,564,305,0.008996626
"G041X6I_1_1#v27","G041X6I_1_1","v27",469,585,305,0.340221704
"G041X6I_1_1#v28","G041X6I_1_1","v28",283,342,304,-0.035201405
"G041X6I_1_1#v29","G041X6I_1_1","v29",302,378,301,-0.055719138
"G041X6I_1_1#v30","G041X6I_1_1","v30",215,328,302,-0.009066142
"G041X6I_1_1#v31","G041X6I_1_1","v31",439,575,294,0.357472699
"G041X6I_1_1#v32","G041X6I_1_1","v32",276,390,295,-0.098381106
"G041X6I_1_1#v33","G041X6I_1_1","v33",422,556,293,0.298357137
"G041X6I_1_1#v34","G041X6I_1_1","v34",490,564,290,0.126074357
"G041X6I_1_1#v35","G041X6I_1_1","v35",542,569,290,0.056623679
"G041X6I_1_1#v36","G041X6I_1_1","v36",460,549,285,0.244966538
"G041X6I_1_1#v37","G041X6I_1_1","v37",385,524,283,0.008922895
"G041X6I_1_1#v38","G041X6I_1_1","v38",331,460,280,-0.115536643
"G041X6I_1_1#v39","G041X6I_1_1","v39",355,503,280,-0.21410798
"G041X6I_1_1#v40","G041X6I_1_1","v40",260,468,277,0.005009663
"G041X6I_1_1#v41","G041X6I_1_1","v41",345,466,278,-0.033278269
"G041X6I_1_1#v42","G041X6I_1_1","v42",343,528,272,0.043551656
"G041X6I_1_1#v43","G041X6I_1_1","v43",371,504,275,0.009153285
"G041X6I_1_1#v44","G041X6I_1_1","v44",253,500,265,0.005912935
"G041X6I_1_1#v45","G041X6I_1_1","v45",455,484,264,0.031476787
"G041X6I_1_1#v46","G041X6I_1_1","v46",308,522,256,0.070023888
"G041X6I_1_1#v47","G041X6I_1_1","v47",483,452,249,-0.11404078
"G041X6I_1_1#v48","G041X6I_1_1","v48",331,532,248,0.029103135
"G041X6I_1_1#v49","G041X6I_1_1","v49",318,531,253,0.059970961
"G041X6I_1_1#v50","G041X6I_1_1","v50",305,609,203,0.073039469
"G041X6I_1_1#v51","G041X6I_1_1","v51",341,553,203,0.080180519
"G041X6I_1_1#v52","G041X6I_1_1","v52",318,614,180,0.173178649
"G041X6I_1_1#v53","G041X6I_1_1","v53",355,582,169,-0.012884238
"G041X6I_1_1#v54","G041X6I_1_1","v54",373,547,135,0.198518998
"G041X6I_1_1#v55","G041X6I_1_1","v55",465,580,128,0.263931903
"G041X6I_1_1#v56","G041X6I_1_1","v56",256,262,121,-0.065189837
"G041X6I_1_1#v57","G041X6I_1_1","v57",395,524,119,-0.035978679
"G041X6I_1_1#v58","G041X6I_1_1","v58",291,373,122,0.1809415
"G041X6I_1_1#v59","G041X6I_1_1","v59",410,528,115,0.116877763
"G041X6I_1_1#v60","G041X6I_1_1","v60",259,326,115,-0.076402642
"G041X6I_1_1#v61","G041X6I_1_1","v61",422,531,111,0.151334919
"G041X6I_1_1#v62","G041X6I_1_1","v62",396,449,102,-0.10939186
"G041X6I_1_1#v63","G041X6I_1_1","v63",228,442,99,-0.084020925
"G041X6I_1_1#v64","G041X6I_1_1","v64",267,434,99,-0.050642574
"G041X6I_1_1#v65","G041X6I_1_1","v65",438,497,98,0.302816561
"G041X6I_1_1#v66","G041X6I_1_1","v66",447,528,100,0.267763197
"G041X6I_1_1#v67","G041X6I_1_1","v67",433,478,99,0.080287131
"G041X6I_1_1#v68","G041X6I_1_1","v68",465,495,94,0.175350668
"G041X6I_1_1#v69","G041X6I_1_1","v69",375,424,90,-0.177260985
"G042X2I_1_1#v0","G042X2I_1_1","v0",438,583,79,0.079221509
"G042X2I_1_1#v1","G042X2I_1_1","v1",453,567,66,0.170425441
"G042X2I_1_1#v2","G042X2I_1_1","v2",425,540,60,-0.047677954
"G042X2I_1_1#v3","G042X2I_1_1","v3",421,509,41,-0.280579991
"G042X2I_1_1#v4","G042X2I_1_1","v4",413,488,22,-0.136838827
"G042X2I_1_1#v5","G042X2I_1_1","v5",393,533,14,0.269857153
"G042X2I_1_1#v6","G042X2I_1_1","v6",375,505,350,0.077749625
"G042X2I_1_1#v7","G042X2I_1_1","v7",376,521,344,0.349418972
"G042X2I_1_1#v8","G042X2I_1_1","v8",339,465,333,-0.346565593
"G042X2I_1_1#v9","G042X2I_1_1","v9",299,675,329,0.243359591
"G042X2I_1_1#v10","G042X2I_1_1","v10",247,713,330,0.25682275
"G042X2I_1_1#v11","G042X2I_1_1","v11",247,691,323,0.25682275
"G042X2I_1_1#v12","G042X2I_1_1","v12",293,631,316,-0.056250011
"G042X2I_1_1#v13","G042X2I_1_1","v13",278,566,301,-0.14041879
"G042X2I_1_1#v14","G042X2I_1_1","v14",399,623,289,-0.212171739
"G042X2I_1_1#v15","G042X2I_1_1","v15",439,529,223,-0.204822437
"G042X2I_1_1#v16","G042X2I_1_1","v16",408,541,182,0.337237053
"G042X2I_1_1#v17","G042X2I_1_1","v17",403,465,166,0.020688532
"G042X2I_1_1#v18","G042X2I_1_1","v18",403,529,155,-0.230777966
"G042X2I_1_1#v19","G042X2I_1_1","v19",389,503,156,-0.085423568
"G042X2I_1_1#v20","G042X2I_1_1","v20",367,454,149,0.266094522
"G042X2I_1_1#v21","G042X2I_1_1","v21",341,613,129,-0.107805868
"G042X2I_1_1#v22","G042X2I_1_1","v22",304,498,127,-0.265334181
"G042X2I_1_1#v23","G042X2I_1_1","v23",319,512,118,-0.173855707
"G042X2I_1_1#v24","G042X2I_1_1","v24",388,573,104,-0.270529159
"G042X2I_1_1#v25","G042X2I_1_1","v25",409,575,94,-0.083570895
"G042X2I_1_1#v26","G042X2I_1_1","v26",402,560,90,-0.290852785
"G043X8I_1_1#v0","G043X8I_1_1","v0",473,404,86,0.146694899
"G043X8I_1_1#v1","G043X8I_1_1","v1",457,370,81,-0.073910394
"G043X8I_1_1#v2","G043X8I_1_1","v2",310,314,75,0.039979805
"G043X8I_1_1#v3","G043X8I_1_1","v3",497,414,70,0.138057757
"G043X8I_1_1#v4","G043X8I_1_1","v4",321,311,61,0.027559349
"G043X8I_1_1#v5","G043X8I_1_1","v5",435,275,61,0.210305181
"G043X8I_1_1#v6","G043X8I_1_1","v6",415,275,61,0.030390489
"G043X8I_1_1#v7","G043X8I_1_1","v7",510,440,53,0.13036218
"G043X8I_1_1#v8","G043X8I_1_1","v8",459,296,52,0.182557229
"G043X8I_1_1#v9","G043X8I_1_1","v9",535,387,47,0.144769326
"G043X8I_1_1#v10","G043X8I_1_1","v10",314,300,25,0.00370365
"G043X8I_1_1#v11","G043X8I_1_1","v11",307,230,3,-0.015833871
"G043X8I_1_1#v12","G043X8I_1_1","v12",303,267,358,0.180716104
"G043X8I_1_1#v13","G043X8I_1_1","v13",291,291,344,0.034986807
"G043X8I_1_1#v14","G043X8I_1_1","v14",297,368,314,0.103382165
"G043X8I_1_1#v15","G043X8I_1_1","v15",327,356,289,0.036179448
"G043X8I_1_1#v16","G043X8I_1_1","v16",498,472,278,0.044721665
"G043X8I_1_1#v17","G043X8I_1_1","v17",432,404,272,0.078238279
"G043X8I_1_1#v18","G043X8I_1_1","v18",373,320,243,0.145812114
"G043X8I_1_1#v19","G043X8I_1_1","v19",514,332,235,0.030390489
"G043X8I_1_1#v20","G043X8I_1_1","v20",545,490,197,0.03938268
"G043X8I_1_1#v21","G043X8I_1_1","v21",332,308,198,0.037796616
"G043X8I_1_1#v22","G043X8I_1_1","v22",516,471,165,0.039999835
"G043X8I_1_1#v23","G043X8I_1_1","v23",311,336,130,0.192840345
"G043X8I_1_1#v24","G043X8I_1_1","v24",397,355,95,0.021271071
"G043X8I_1_1#v25","G043X8I_1_1","v25",369,338,95,0.177208667
"G043X8I_1_1#v26","G043X8I_1_1","v26",500,442,94,-0.034371298
"G044X7I_1_1#v0","G044X7I_1_1","v0",277,580,85,-0.152107176
"G044X7I_1_1#v1","G044X7I_1_1","v1",265,576,88,-0.196964393
"G044X7I_1_1#v2","G044X7I_1_1","v2",295,582,78,-0.214032647
"G044X7I_1_1#v3","G044X7I_1_1","v3",164,590,74,0.124553526
"G044X7I_1_1#v4","G044X7I_1_1","v4",293,636,75,-0.787877688
"G044X7I_1_1#v5","G044X7I_1_1","v5",175,599,63,0.001056534
"G044X7I_1_1#v6","G044X7I_1_1","v6",187,573,65,0.202259487
"G044X7I_1_1#v7","G044X7I_1_1","v7",329,597,57,-0.145397991
"G044X7I_1_1#v8","G044X7I_1_1","v8",315,540,56,0.232679064
"G044X7I_1_1#v9","G044X7I_1_1","v9",386,535,36,0.230263914
"G044X7I_1_1#v10","G044X7I_1_1","v10",285,726,358,-0.300354166
"G044X7I_1_1#v11","G044X7I_1_1","v11",225,663,352,0.165309068
"G044X7I_1_1#v12","G044X7I_1_1","v12",246,675,342,0.004989131
"G044X7I_1_1#v13","G044X7I_1_1","v13",230,645,337,0.181949406
"G044X7I_1_1#v14","G044X7I_1_1","v14",278,679,333,-0.156079974
"G044X7I_1_1#v15","G044X7I_1_1","v15",226,617,321,0.145830804
"G044X7I_1_1#v16","G044X7I_1_1","v16",219,587,262,-0.019208103
"G044X7I_1_1#v17","G044X7I_1_1","v17",187,639,241,0.0359175
"G044X7I_1_1#v18","G044X7I_1_1","v18",387,657,226,-0.107000406
"G044X7I_1_1#v19","G044X7I_1_1","v19",376,668,218,-0.075094114
"G044X7I_1_1#v20","G044X7I_1_1","v20",341,669,216,-0.305993267
"G044X7I_1_1#v21","G044X7I_1_1","v21",369,692,206,-0.201449028
"G044X7I_1_1#v22","G044X7I_1_1","v22",360,708,188,0.002203664
"G044X7I_1_1#v23","G044X7I_1_1","v23",322,736,181,-0.524752732
"G044X7I_1_1#v24","G044X7I_1_1","v24",323,680,180,-0.15018629
"G044X7I_1_1#v25","G044X7I_1_1","v25",271,628,126,0.136656569
"G044X7I_1_1#v26","G044X7I_1_1","v26",252,601,123,-0.070534307
"G044X7I_1_1#v27","G044X7I_1_1","v27",238,574,93,-0.158475307
"G045X9I_1_1#v0","G045X9I_1_1","v0",409,340,49,-0.08145353
"G045X9I_1_1#v1","G045X9I_1_1","v1",392,400,42,0.126823429
"G045X9I_1_1#v2","G045X9I_1_1","v2",344,383,11,0.022041907
"G045X9I_1_1#v3","G045X9I_1_1","v3",495,568,349,0.004299772
"G045X9I_1_1#v4","G045X9I_1_1","v4",355,478,328,0.023653604
"G045X9I_1_1#v5","G045X9I_1_1","v5",348,470,323,0.049041497
"G045X9I_1_1#v6","G045X9I_1_1","v6",354,436,306,-0.090932218
"G045X9I_1_1#v7","G045X9I_1_1","v7",325,415,307,0.136382127
"G045X9I_1_1#v8","G045X9I_1_1","v8",427,410,233,-0.088582392
"G045X9I_1_1#v9","G045X9I_1_1","v9",446,337,226,-0.08145353
"G045X9I_1_1#v10","G045X9I_1_1","v10",514,395,223,-0.072611171
"G045X9I_1_1#v11","G045X9I_1_1","v11",397,429,225,-0.037476999
"G045X9I_1_1#v12","G045X9I_1_1","v12",391,327,215,-0.086876028
"G045X9I_1_1#v13","G045X9I_1_1","v13",445,435,215,-9.94e-05
"G045X9I_1_1#v14","G045X9I_1_1","v14",505,416,215,-0.126280514
"G045X9I_1_1#v15","G045X9I_1_1","v15",408,407,217,0.109861231
"G045X9I_1_1#v16","G045X9I_1_1","v16",435,463,206,-0.035333552
"G045X9I_1_1#v17","G045X9I_1_1","v17",402,449,204,-0.009058897
"G045X9I_1_1#v18","G045X9I_1_1","v18",519,439,208,-0.03520526
"G045X9I_1_1#v19","G045X9I_1_1","v19",459,456,201,-0.001150538
"G045X9I_1_1#v20","G045X9I_1_1","v20",495,460,196,-0.13785747
"G045X9I_1_1#v21","G045X9I_1_1","v21",526,450,196,-0.064987035
"G045X9I_1_1#v22","G045X9I_1_1","v22",402,467,188,0.012059228
"G045X9I_1_1#v23","G045X9I_1_1","v23",495,498,184,0.084944293
"G045X9I_1_1#v24","G045X9I_1_1","v24",456,471,185,-0.04016134
"G045X9I_1_1#v25","G045X9I_1_1","v25",567,472,179,-0.101406202
"G045X9I_1_1#v26","G045X9I_1_1","v26",535,482,178,-0.073351525
"G045X9I_1_1#v27","G045X9I_1_1","v27",487,516,173,0.002045726
"G045X9I_1_1#v28","G045X9I_1_1","v28",473,563,165,0.006362863
"G045X9I_1_1#v29","G045X9I_1_1","v29",439,529,163,0.130105392
"G045X9I_1_1#v30","G045X9I_1_1","v30",377,484,156,-0.003581885
"G045X9I_1_1#v31","G045X9I_1_1","v31",372,460,147,0.146743043
"G045X9I_1_1#v32","G045X9I_1_1","v32",361,416,118,-0.074481777
"G046X1I_1_1#v0","G046X1I_1_1","v0",567,573,86,0.221930494
"G046X1I_1_1#v1","G046X1I_1_1","v1",261,523,88,-0.290431643
"G046X1I_1_1#v2","G046X1I_1_1","v2",444,469,79,0.118491233
"G046X1I_1_1#v3","G046X1I_1_1","v3",347,478,82,-0.468387301
"G046X1I_1_1#v4","G046X1I_1_1","v4",522,519,84,-0.230853804
"G046X1I_1_1#v5","G046X1I_1_1","v5",484,467,75,-0.101844626
"G046X1I_1_1#v6","G046X1I_1_1","v6",529,476,69,0.164353648
"G046X1I_1_1#v7","G046X1I_1_1","v7",298,540,70,-0.342078888
"G046X1I_1_1#v8","G046X1I_1_1","v8",537,498,72,-0.054177383
"G046X1I_1_1#v9","G046X1I_1_1","v9",371,470,67,-0.017806289
"G046X1I_1_1#v10","G046X1I_1_1","v10",289,561,66,-0.057238425
"G046X1I_1_1#v11","G046X1I_1_1","v11",305,527,66,-0.117383906
"G046X1I_1_1#v12","G046X1I_1_1","v12",575,387,59,-0.320406655
"G046X1I_1_1#v13","G046X1I_1_1","v13",477,428,61,-0.131474641
"G046X1I_1_1#v14","G046X1I_1_1","v14",588,479,59,-0.822827778
"G046X1I_1_1#v15","G046X1I_1_1","v15",570,430,54,0.121182769
"G046X1I_1_1#v16","G046X1I_1_1","v16",640,274,56,-0.19090913
"G046X1I_1_1#v17","G046X1I_1_1","v17",398,422,53,-0.084850659
"G046X1I_1_1#v18","G046X1I_1_1","v18",624,382,46,-0.05124392
"G046X1I_1_1#v19","G046X1I_1_1","v19",601,538,41,0.311513531
"G046X1I_1_1#v20","G046X1I_1_1","v20",585,563,39,0.24712786
"G046X1I_1_1#v21","G046X1I_1_1","v21",352,549,38,-0.151476552
"G046X1I_1_1#v22","G046X1I_1_1","v22",632,500,26,0.034805204
"G046X1I_1_1#v23","G046X1I_1_1","v23",382,556,337,-0.324751368
"G046X1I_1_1#v24","G046X1I_1_1","v24",555,629,295,0.145716442
"G046X1I_1_1#v25","G046X1I_1_1","v25",325,586,238,0.027126064
"G046X1I_1_1#v26","G046X1I_1_1","v26",673,322,237,-0.036571646
"G046X1I_1_1#v27","G046X1I_1_1","v27",614,318,237,-0.245764523
"G046X1I_1_1#v28","G046X1I_1_1","v28",596,378,232,-0.153917274
"G046X1I_1_1#v29","G046X1I_1_1","v29",625,528,230,-0.687276749
"G046X1I_1_1#v30","G046X1I_1_1","v30",360,567,217,0.038747056
"G046X1I_1_1#v31","G046X1I_1_1","v31",603,579,216,-0.039862936
"G046X1I_1_1#v32","G046X1I_1_1","v32",678,429,218,0.042487657
"G046X1I_1_1#v33","G046X1I_1_1","v33",652,488,216,-0.17210993
"G046X1I_1_1#v34","G046X1I_1_1","v34",416,551,149,-0.041738486
"G046X1I_1_1#v35","G046X1I_1_1","v35",343,397,144,-0.25928184
"G046X1I_1_1#v36","G046X1I_1_1","v36",479,601,139,0.233788926
"G046X1I_1_1#v37","G046X1I_1_1","v37",348,437,129,-0.313655002
"G046X1I_1_1#v38","G046X1I_1_1","v38",440,525,113,-0.28307127
"G046X1I_1_1#v39","G046X1I_1_1","v39",299,464,110,-0.138871182
"G046X1I_1_1#v40","G046X1I_1_1","v40",428,500,110,0.028501103
"G046X1I_1_1#v41","G046X1I_1_1","v41",475,530,102,-0.171935895
"G046X1I_1_1#v42","G046X1I_1_1","v42",317,455,103,-0.021858014
"G046X1I_1_1#v43","G046X1I_1_1","v43",577,594,99,0.337846296
"G046X1I_1_1#v44","G046X1I_1_1","v44",563,576,99,0.246796014
"G046X1I_1_1#v45","G046X1I_1_1","v45",555,551,93,0.121625185
"G046X1I_1_1#v46","G046X1I_1_1","v46",331,461,94,-0.166903256
"G047X4I_1_1#v0","G047X4I_1_1","v0",365,461,20,0.070849079
"G047X4I_1_1#v1","G047X4I_1_1","v1",359,487,19,0.028351925
"G047X4I_1_1#v2","G047X4I_1_1","v2",312,484,20,-0.08205491
"G047X4I_1_1#v3","G047X4I_1_1","v3",335,486,14,-0.163471587
"G047X4I_1_1#v4","G047X4I_1_1","v4",475,282,8,0.002889118
"G047X4I_1_1#v5","G047X4I_1_1","v5",449,263,353,0.094371177
"G047X4I_1_1#v6","G047X4I_1_1","v6",337,465,351,-0.076114481
"G047X4I_1_1#v7","G047X4I_1_1","v7",289,439,346,-0.021570514
"G047X4I_1_1#v8","G047X4I_1_1","v8",435,134,344,0.064651899
"G047X4I_1_1#v9","G047X4I_1_1","v9",319,448,345,-0.124003163
"G047X4I_1_1#v10","G047X4I_1_1","v10",430,179,341,0.123564386
"G047X4I_1_1#v11","G047X4I_1_1","v11",312,440,336,-0.082296885
"G047X4I_1_1#v12","G047X4I_1_1","v12",393,167,327,-0.016996676
"G047X4I_1_1#v13","G047X4I_1_1","v13",298,300,327,-0.062502572
"G047X4I_1_1#v14","G047X4I_1_1","v14",420,171,330,0.11082879
"G047X4I_1_1#v15","G047X4I_1_1","v15",371,240,321,-0.011706266
"G047X4I_1_1#v16","G047X4I_1_1","v16",301,163,321,0.122510614
"G047X4I_1_1#v17","G047X4I_1_1","v17",313,262,326,-0.167389293
"G047X4I_1_1#v18","G047X4I_1_1","v18",273,352,325,0.00421025
"G047X4I_1_1#v19","G047X4I_1_1","v19",307,350,324,-0.048460599
"G047X4I_1_1#v20","G047X4I_1_1","v20",362,439,321,-0.041516379
"G047X4I_1_1#v21","G047X4I_1_1","v21",337,344,322,0.044829049
"G047X4I_1_1#v22","G047X4I_1_1","v22",318,416,322,-0.227348251
"G047X4I_1_1#v23","G047X4I_1_1","v23",297,202,321,-0.089597944
"G047X4I_1_1#v24","G047X4I_1_1","v24",275,228,321,0.128929712
"G047X4I_1_1#v25","G047X4I_1_1","v25",295,129,323,0.182645547
"G047X4I_1_1#v26","G047X4I_1_1","v26",345,131,318,-0.104484576
"G047X4I_1_1#v27","G047X4I_1_1","v27",351,359,317,-0.043168267
"G047X4I_1_1#v28","G047X4I_1_1","v28",399,324,318,-0.021238422
"G047X4I_1_1#v29","G047X4I_1_1","v29",347,283,319,0.119964398
"G047X4I_1_1#v30","G047X4I_1_1","v30",389,141,318,0.040945725
"G047X4I_1_1#v31","G047X4I_1_1","v31",389,277,316,0.044144449
"G047X4I_1_1#v32","G047X4I_1_1","v32",287,113,311,0.071541181
"G047X4I_1_1#v33","G047X4I_1_1","v33",393,361,315,0.043312023
"G047X4I_1_1#v34","G047X4I_1_1","v34",439,394,314,0.041570543
"G047X4I_1_1#v35","G047X4I_1_1","v35",393,457,263,-0.02081635
"G047X4I_1_1#v36","G047X4I_1_1","v36",440,463,262,-0.061422888
"G047X4I_1_1#v37","G047X4I_1_1","v37",418,485,251,-0.035842413
"G047X4I_1_1#v38","G047X4I_1_1","v38",502,387,242,-0.072908978
"G047X4I_1_1#v39","G047X4I_1_1","v39",515,353,239,-0.040409848
"G047X4I_1_1#v40","G047X4I_1_1","v40",402,485,225,0.001607675
"G047X4I_1_1#v41","G047X4I_1_1","v41",395,515,213,-0.138387873
"G047X4I_1_1#v42","G047X4I_1_1","v42",381,487,204,-0.107532757
"G047X4I_1_1#v43","G047X4I_1_1","v43",476,371,175,-0.212968674
"G047X4I_1_1#v44","G047X4I_1_1","v44",473,333,162,-0.13920313
